Country Name,Age Group,Gender,Population
Ethiopia,0-14,female,22315932
Ethiopia,0-14,male,-22339555
Ethiopia,15-19,female,6343543
Ethiopia,15-19,male,-6350258
Ethiopia,20-24,female,5648508
Ethiopia,20-24,male,-5654487
Ethiopia,25-29,female,4587777
Ethiopia,25-29,male,-4592634
Ethiopia,30-34,female,3620496
Ethiopia,30-34,male,-3624329
Ethiopia,35-39,female,3064844
Ethiopia,35-39,male,-3068088
Ethiopia,40-44,female,2388664
Ethiopia,40-44,male,-2391193
Ethiopia,45-49,female,1966666
Ethiopia,45-49,male,-1968748
Ethiopia,50-54,female,1598960
Ethiopia,50-54,male,-1600653
Ethiopia,55-59,female,1278866
Ethiopia,55-59,male,-1280220
Ethiopia,60-64,female,1073385
Ethiopia,60-64,male,-1074521
Ethiopia,65-69,female,807742
Ethiopia,65-69,male,-808597
Ethiopia,70-74,female,627334
Ethiopia,70-74,male,-627998
Ethiopia,75-79,female,379721
Ethiopia,75-79,male,-380123
Ethiopia,80 and above,female,307281
Ethiopia,80 and above,male,-307606
