Country Name,Age Group,Gender,Year,Population
Ethiopia,0-14,female,1990,"11,006,432"
Ethiopia,0-14,female,2000,"15,236,550"
Ethiopia,0-14,female,2011,"19,776,433"
Ethiopia,0-14,female,2012,"20,093,549"
Ethiopia,0-14,female,2013,"20,405,302"
Ethiopia,0-14,female,2014,"20,709,985"
Ethiopia,0-14,female,2015,"21,008,253"
Ethiopia,0-14,female,2016,"21,347,868"
Ethiopia,0-14,female,2017,"21,672,543"
Ethiopia,0-14,female,2018,"21,991,425"
Ethiopia,0-14,female,2019,"22,315,932"
Ethiopia,0-14,male,1990,"10,948,159"
Ethiopia,0-14,male,2000,"15,151,223"
Ethiopia,0-14,male,2011,"19,706,318"
Ethiopia,0-14,male,2012,"20,038,776"
Ethiopia,0-14,male,2013,"20,367,540"
Ethiopia,0-14,male,2014,"20,688,509"
Ethiopia,0-14,male,2015,"21,000,639"
Ethiopia,0-14,male,2016,"21,351,270"
Ethiopia,0-14,male,2017,"21,684,574"
Ethiopia,0-14,male,2018,"22,010,004"
Ethiopia,0-14,male,2019,"22,339,555"
Ethiopia,15-19,female,1990,"2,399,477"
Ethiopia,15-19,female,2000,"3,588,448"
Ethiopia,15-19,female,2011,"5,078,260"
Ethiopia,15-19,female,2012,"5,290,165"
Ethiopia,15-19,female,2013,"5,493,865"
Ethiopia,15-19,female,2014,"5,682,915"
Ethiopia,15-19,female,2015,"5,852,927"
Ethiopia,15-19,female,2016,"6,000,032"
Ethiopia,15-19,female,2017,"6,130,062"
Ethiopia,15-19,female,2018,"6,243,713"
Ethiopia,15-19,female,2019,"6,343,543"
Ethiopia,15-19,male,1990,"2,386,773"
Ethiopia,15-19,male,2000,"3,568,352"
Ethiopia,15-19,male,2011,"5,060,256"
Ethiopia,15-19,male,2012,"5,275,745"
Ethiopia,15-19,male,2013,"5,483,698"
Ethiopia,15-19,male,2014,"5,677,022"
Ethiopia,15-19,male,2015,"5,850,806"
Ethiopia,15-19,male,2016,"6,000,988"
Ethiopia,15-19,male,2017,"6,133,465"
Ethiopia,15-19,male,2018,"6,248,988"
Ethiopia,15-19,male,2019,"6,350,258"
Ethiopia,20-24,female,1990,"1,988,176"
Ethiopia,20-24,female,2000,"2,843,723"
Ethiopia,20-24,female,2011,"3,987,963"
Ethiopia,20-24,female,2012,"4,182,755"
Ethiopia,20-24,female,2013,"4,398,606"
Ethiopia,20-24,female,2014,"4,621,332"
Ethiopia,20-24,female,2015,"4,840,528"
Ethiopia,20-24,female,2016,"5,050,363"
Ethiopia,20-24,female,2017,"5,259,405"
Ethiopia,20-24,female,2018,"5,461,358"
Ethiopia,20-24,female,2019,"5,648,508"
Ethiopia,20-24,male,1990,"1,977,650"
Ethiopia,20-24,male,2000,"2,827,798"
Ethiopia,20-24,male,2011,"3,973,824"
Ethiopia,20-24,male,2012,"4,171,354"
Ethiopia,20-24,male,2013,"4,390,465"
Ethiopia,20-24,male,2014,"4,616,540"
Ethiopia,20-24,male,2015,"4,838,774"
Ethiopia,20-24,male,2016,"5,051,168"
Ethiopia,20-24,male,2017,"5,262,324"
Ethiopia,20-24,male,2018,"5,465,972"
Ethiopia,20-24,male,2019,"5,654,487"
Ethiopia,25-29,female,1990,"1,626,587"
Ethiopia,25-29,female,2000,"2,302,651"
Ethiopia,25-29,female,2011,"3,376,462"
Ethiopia,25-29,female,2012,"3,465,150"
Ethiopia,25-29,female,2013,"3,552,391"
Ethiopia,25-29,female,2014,"3,659,858"
Ethiopia,25-29,female,2015,"3,800,211"
Ethiopia,25-29,female,2016,"3,962,633"
Ethiopia,25-29,female,2017,"4,155,223"
Ethiopia,25-29,female,2018,"4,368,645"
Ethiopia,25-29,female,2019,"4,587,777"
Ethiopia,25-29,male,1990,"1,617,975"
Ethiopia,25-29,male,2000,"2,289,756"
Ethiopia,25-29,male,2011,"3,364,491"
Ethiopia,25-29,male,2012,"3,455,704"
Ethiopia,25-29,male,2013,"3,545,817"
Ethiopia,25-29,male,2014,"3,656,062"
Ethiopia,25-29,male,2015,"3,798,834"
Ethiopia,25-29,male,2016,"3,963,264"
Ethiopia,25-29,male,2017,"4,157,529"
Ethiopia,25-29,male,2018,"4,372,336"
Ethiopia,25-29,male,2019,"4,592,634"
Ethiopia,30-34,female,1990,"1,414,986"
Ethiopia,30-34,female,2000,"1,911,830"
Ethiopia,30-34,female,2011,"2,707,793"
Ethiopia,30-34,female,2012,"2,840,066"
Ethiopia,30-34,female,2013,"2,981,178"
Ethiopia,30-34,female,2014,"3,116,661"
Ethiopia,30-34,female,2015,"3,238,075"
Ethiopia,30-34,female,2016,"3,340,193"
Ethiopia,30-34,female,2017,"3,428,212"
Ethiopia,30-34,female,2018,"3,514,834"
Ethiopia,30-34,female,2019,"3,620,496"
Ethiopia,30-34,male,1990,"1,407,494"
Ethiopia,30-34,male,2000,"1,901,123"
Ethiopia,30-34,male,2011,"2,698,193"
Ethiopia,30-34,male,2012,"2,832,324"
Ethiopia,30-34,male,2013,"2,975,661"
Ethiopia,30-34,male,2014,"3,113,429"
Ethiopia,30-34,male,2015,"3,236,902"
Ethiopia,30-34,male,2016,"3,340,725"
Ethiopia,30-34,male,2017,"3,430,115"
Ethiopia,30-34,male,2018,"3,517,803"
Ethiopia,30-34,male,2019,"3,624,329"
Ethiopia,35-39,female,1990,"1,196,369"
Ethiopia,35-39,female,2000,"1,535,836"
Ethiopia,35-39,female,2011,"2,211,274"
Ethiopia,35-39,female,2012,"2,281,136"
Ethiopia,35-39,female,2013,"2,356,716"
Ethiopia,35-39,female,2014,"2,444,424"
Ethiopia,35-39,female,2015,"2,547,542"
Ethiopia,35-39,female,2016,"2,660,914"
Ethiopia,35-39,female,2017,"2,792,170"
Ethiopia,35-39,female,2018,"2,931,833"
Ethiopia,35-39,female,2019,"3,064,844"
Ethiopia,35-39,male,1990,"1,190,035"
Ethiopia,35-39,male,2000,"1,527,235"
Ethiopia,35-39,male,2011,"2,203,434"
Ethiopia,35-39,male,2012,"2,274,918"
Ethiopia,35-39,male,2013,"2,352,354"
Ethiopia,35-39,male,2014,"2,441,889"
Ethiopia,35-39,male,2015,"2,546,619"
Ethiopia,35-39,male,2016,"2,661,338"
Ethiopia,35-39,male,2017,"2,793,720"
Ethiopia,35-39,male,2018,"2,934,310"
Ethiopia,35-39,male,2019,"3,068,088"
Ethiopia,40-44,female,1990,"1,068,843"
Ethiopia,40-44,female,2000,"1,347,746"
Ethiopia,40-44,female,2011,"1,829,825"
Ethiopia,40-44,female,2012,"1,892,578"
Ethiopia,40-44,female,2013,"1,955,951"
Ethiopia,40-44,female,2014,"2,021,181"
Ethiopia,40-44,female,2015,"2,089,371"
Ethiopia,40-44,female,2016,"2,157,769"
Ethiopia,40-44,female,2017,"2,227,789"
Ethiopia,40-44,female,2018,"2,302,887"
Ethiopia,40-44,female,2019,"2,388,664"
Ethiopia,40-44,male,1990,"1,063,184"
Ethiopia,40-44,male,2000,"1,340,198"
Ethiopia,40-44,male,2011,"1,823,338"
Ethiopia,40-44,male,2012,"1,887,419"
Ethiopia,40-44,male,2013,"1,952,331"
Ethiopia,40-44,male,2014,"2,019,085"
Ethiopia,40-44,male,2015,"2,088,614"
Ethiopia,40-44,male,2016,"2,158,113"
Ethiopia,40-44,male,2017,"2,229,026"
Ethiopia,40-44,male,2018,"2,304,833"
Ethiopia,40-44,male,2019,"2,391,193"
Ethiopia,45-49,female,1990,"858,940"
Ethiopia,45-49,female,2000,"1,087,694"
Ethiopia,45-49,female,2011,"1,467,903"
Ethiopia,45-49,female,2012,"1,524,141"
Ethiopia,45-49,female,2013,"1,587,375"
Ethiopia,45-49,female,2014,"1,652,456"
Ethiopia,45-49,female,2015,"1,716,113"
Ethiopia,45-49,female,2016,"1,777,307"
Ethiopia,45-49,female,2017,"1,839,296"
Ethiopia,45-49,female,2018,"1,902,242"
Ethiopia,45-49,female,2019,"1,966,666"
Ethiopia,45-49,male,1990,"854,392"
Ethiopia,45-49,male,2000,"1,081,603"
Ethiopia,45-49,male,2011,"1,462,699"
Ethiopia,45-49,male,2012,"1,519,986"
Ethiopia,45-49,male,2013,"1,584,437"
Ethiopia,45-49,male,2014,"1,650,742"
Ethiopia,45-49,male,2015,"1,715,491"
Ethiopia,45-49,male,2016,"1,777,590"
Ethiopia,45-49,male,2017,"1,840,317"
Ethiopia,45-49,male,2018,"1,903,849"
Ethiopia,45-49,male,2019,"1,968,748"
Ethiopia,50-54,female,1990,"677,761"
Ethiopia,50-54,female,2000,"967,225"
Ethiopia,50-54,female,2011,"1,262,856"
Ethiopia,50-54,female,2012,"1,285,951"
Ethiopia,50-54,female,2013,"1,307,433"
Ethiopia,50-54,female,2014,"1,334,980"
Ethiopia,50-54,female,2015,"1,373,023"
Ethiopia,50-54,female,2016,"1,417,885"
Ethiopia,50-54,female,2017,"1,473,113"
Ethiopia,50-54,female,2018,"1,535,285"
Ethiopia,50-54,female,2019,"1,598,960"
Ethiopia,50-54,male,1990,"674,173"
Ethiopia,50-54,male,2000,"961,808"
Ethiopia,50-54,male,2011,"1,258,379"
Ethiopia,50-54,male,2012,"1,282,445"
Ethiopia,50-54,male,2013,"1,305,013"
Ethiopia,50-54,male,2014,"1,333,595"
Ethiopia,50-54,male,2015,"1,372,525"
Ethiopia,50-54,male,2016,"1,418,110"
Ethiopia,50-54,male,2017,"1,473,931"
Ethiopia,50-54,male,2018,"1,536,582"
Ethiopia,50-54,male,2019,"1,600,653"
Ethiopia,55-59,female,1990,"580,105"
Ethiopia,55-59,female,2000,"760,673"
Ethiopia,55-59,female,2011,"1,009,296"
Ethiopia,55-59,female,2012,"1,050,686"
Ethiopia,55-59,female,2013,"1,097,470"
Ethiopia,55-59,female,2014,"1,141,802"
Ethiopia,55-59,female,2015,"1,179,192"
Ethiopia,55-59,female,2016,"1,207,143"
Ethiopia,55-59,female,2017,"1,229,785"
Ethiopia,55-59,female,2018,"1,251,389"
Ethiopia,55-59,female,2019,"1,278,866"
Ethiopia,55-59,male,1990,"577,034"
Ethiopia,55-59,male,2000,"756,413"
Ethiopia,55-59,male,2011,"1,005,718"
Ethiopia,55-59,male,2012,"1,047,822"
Ethiopia,55-59,male,2013,"1,095,439"
Ethiopia,55-59,male,2014,"1,140,618"
Ethiopia,55-59,male,2015,"1,178,765"
Ethiopia,55-59,male,2016,"1,207,336"
