Country Name,Age Group,Gender,Population
Ethiopia,0-14,female,"22,315,932"
Ethiopia,0-14,male,"22,339,555"
Ethiopia,15-19,female,"6,343,543"
Ethiopia,15-19,male,"6,350,258"
Ethiopia,20-24,female,"5,648,508"
Ethiopia,20-24,male,"5,654,487"
Ethiopia,25-29,female,"4,587,777"
Ethiopia,25-29,male,"4,592,634"
Ethiopia,30-34,female,"3,620,496"
Ethiopia,30-34,male,"3,624,329"
Ethiopia,35-39,female,"3,064,844"
Ethiopia,35-39,male,"3,068,088"
Ethiopia,40-44,female,"2,388,664"
Ethiopia,40-44,male,"2,391,193"
Ethiopia,45-49,female,"1,966,666"
Ethiopia,45-49,male,"1,968,748"
Ethiopia,50-54,female,"1,598,960"
Ethiopia,50-54,male,"1,600,653"
Ethiopia,55-59,female,"1,278,866"
Ethiopia,55-59,male,"1,280,220"
Ethiopia,60-64,female,"1,073,385"
Ethiopia,60-64,male,"1,074,521"
Ethiopia,65-69,female,"807,742"
Ethiopia,65-69,male,"808,597"
Ethiopia,70-74,female,"627,334"
Ethiopia,70-74,male,"627,998"
Ethiopia,75-79,female,"379,721"
Ethiopia,75-79,male,"380,123"
Ethiopia,80 and above,female,"307,281"
Ethiopia,80 and above,male,"307,606"
