Country Name,Age Group,Gender,Year,Population
United States,0-14,female,2019,29768273
United States,0-14,male,2019,-29157231
United States,15-19,female,2019,10387288
United States,15-19,male,2019,-10174072
United States,20-24,female,2019,10984798
United States,20-24,male,2019,-10759317
United States,25-29,female,2019,11609603
United States,25-29,male,2019,-11371297
United States,30-34,female,2019,11163282
United States,30-34,male,2019,-10934137
United States,35-39,female,2019,10577274
United States,35-39,male,2019,-10360158
United States,40-44,female,2019,10086648
United States,40-44,male,2019,-9879603
United States,45-49,female,2019,10081631
United States,45-49,male,2019,-9874689
United States,50-54,female,2019,10369204
United States,50-54,male,2019,-10156360
United States,55-59,female,2019,10909487
United States,55-59,male,2019,-10685552
United States,60-64,female,2019,10490334
United States,60-64,male,2019,-10275003
United States,65-69,female,2019,9130305
United States,65-69,male,2019,-8942890
United States,70-74,female,2019,7383579
United States,70-74,male,2019,-7232019
United States,75-79,female,2019,5120726
United States,75-79,male,2019,-5015615
United States,80 and above,female,2019,7759209
United States,80 and above,male,2019,-7599938
