Country Name,Age Group,Gender,Year,Population
United States,0-14,female,1990,"26,423,657"
United States,0-14,female,2000,"29,907,093"
United States,0-14,female,2011,"30,491,299"
United States,0-14,female,2012,"30,409,425"
United States,0-14,female,2013,"30,300,803"
United States,0-14,female,2014,"30,208,459"
United States,0-14,female,2015,"30,127,998"
United States,0-14,female,2016,"30,029,421"
United States,0-14,female,2017,"29,959,876"
United States,0-14,female,2018,"29,880,716"
United States,0-14,female,2019,"29,768,273"
United States,0-14,male,1990,"25,391,627"
United States,0-14,male,2000,"29,030,957"
United States,0-14,male,2011,"29,768,658"
United States,0-14,male,2012,"29,707,969"
United States,0-14,male,2013,"29,622,121"
United States,0-14,male,2014,"29,550,308"
United States,0-14,male,2015,"29,486,284"
United States,0-14,male,2016,"29,400,283"
United States,0-14,male,2017,"29,339,155"
United States,0-14,male,2018,"29,265,578"
United States,0-14,male,2019,"29,157,231"
United States,15-19,female,1990,"8,636,017"
United States,15-19,female,2000,"9,725,920"
United States,15-19,female,2011,"10,816,720"
United States,15-19,female,2012,"10,765,189"
United States,15-19,female,2013,"10,665,923"
United States,15-19,female,2014,"10,560,717"
United States,15-19,female,2015,"10,468,941"
United States,15-19,female,2016,"10,446,661"
United States,15-19,female,2017,"10,427,870"
United States,15-19,female,2018,"10,407,016"
United States,15-19,female,2019,"10,387,288"
United States,15-19,male,1990,"8,298,720"
United States,15-19,male,2000,"9,440,996"
United States,15-19,male,2011,"10,560,365"
United States,15-19,male,2012,"10,516,868"
United States,15-19,male,2013,"10,427,026"
United States,15-19,male,2014,"10,330,631"
United States,15-19,male,2015,"10,245,957"
United States,15-19,male,2016,"10,227,796"
United States,15-19,male,2017,"10,211,821"
United States,15-19,male,2018,"10,192,773"
United States,15-19,male,2019,"10,174,072"
United States,20-24,female,1990,"9,319,869"
United States,20-24,female,2000,"9,344,886"
United States,20-24,female,2011,"10,792,837"
United States,20-24,female,2012,"10,954,533"
United States,20-24,female,2013,"11,104,229"
United States,20-24,female,2014,"11,218,647"
United States,20-24,female,2015,"11,270,986"
United States,20-24,female,2016,"11,272,839"
United States,20-24,female,2017,"11,207,162"
United States,20-24,female,2018,"11,096,499"
United States,20-24,female,2019,"10,984,798"
United States,20-24,male,1990,"8,955,862"
United States,20-24,male,2000,"9,071,125"
United States,20-24,male,2011,"10,537,047"
United States,20-24,male,2012,"10,701,844"
United States,20-24,male,2013,"10,855,515"
United States,20-24,male,2014,"10,974,227"
United States,20-24,male,2015,"11,030,919"
United States,20-24,male,2016,"11,036,665"
United States,20-24,male,2017,"10,974,968"
United States,20-24,male,2018,"10,868,061"
United States,20-24,male,2019,"10,759,317"
United States,25-29,female,1990,"10,365,277"
United States,25-29,female,2000,"9,538,662"
United States,25-29,female,2011,"10,442,341"
United States,25-29,female,2012,"10,588,029"
United States,25-29,female,2013,"10,735,394"
United States,25-29,female,2014,"10,895,073"
United States,25-29,female,2015,"11,062,072"
United States,25-29,female,2016,"11,223,441"
United States,25-29,female,2017,"11,381,649"
United States,25-29,female,2018,"11,516,976"
United States,25-29,female,2019,"11,609,603"
United States,25-29,male,1990,"9,960,440"
United States,25-29,male,2000,"9,259,225"
United States,25-29,male,2011,"10,194,858"
United States,25-29,male,2012,"10,343,795"
United States,25-29,male,2013,"10,494,941"
United States,25-29,male,2014,"10,657,702"
United States,25-29,male,2015,"10,826,455"
United States,25-29,male,2016,"10,988,301"
United States,25-29,male,2017,"11,145,839"
United States,25-29,male,2018,"11,279,882"
United States,25-29,male,2019,"11,371,297"
United States,30-34,female,1990,"10,908,332"
United States,30-34,female,2000,"10,112,523"
United States,30-34,female,2011,"10,013,885"
United States,30-34,female,2012,"10,129,964"
United States,30-34,female,2013,"10,268,976"
United States,30-34,female,2014,"10,426,181"
United States,30-34,female,2015,"10,589,430"
United States,30-34,female,2016,"10,747,293"
United States,30-34,female,2017,"10,892,876"
United States,30-34,female,2018,"11,027,059"
United States,30-34,female,2019,"11,163,282"
United States,30-34,male,1990,"10,482,285"
United States,30-34,male,2000,"9,816,274"
United States,30-34,male,2011,"9,776,556"
United States,30-34,male,2012,"9,896,296"
United States,30-34,male,2013,"10,038,970"
United States,30-34,male,2014,"10,199,026"
United States,30-34,male,2015,"10,363,879"
United States,30-34,male,2016,"10,522,129"
United States,30-34,male,2017,"10,667,193"
United States,30-34,male,2018,"10,800,050"
United States,30-34,male,2019,"10,934,137"
United States,35-39,female,1990,"10,047,235"
United States,35-39,female,2000,"11,144,825"
United States,35-39,female,2011,"9,995,072"
United States,35-39,female,2012,"9,984,073"
United States,35-39,female,2013,"9,989,055"
United States,35-39,female,2014,"10,026,710"
United States,35-39,female,2015,"10,098,564"
United States,35-39,female,2016,"10,197,576"
United States,35-39,female,2017,"10,314,819"
United States,35-39,female,2018,"10,442,313"
United States,35-39,female,2019,"10,577,274"
United States,35-39,male,1990,"9,654,820"
United States,35-39,male,2000,"10,818,335"
United States,35-39,male,2011,"9,758,190"
United States,35-39,male,2012,"9,753,770"
United States,35-39,male,2013,"9,765,318"
United States,35-39,male,2014,"9,808,258"
United States,35-39,male,2015,"9,883,469"
United States,35-39,male,2016,"9,983,929"
United States,35-39,male,2017,"10,101,112"
United States,35-39,male,2018,"10,227,343"
United States,35-39,male,2019,"10,360,158"
United States,40-44,female,1990,"8,953,815"
United States,40-44,female,2000,"11,205,597"
United States,40-44,female,2011,"10,255,298"
United States,40-44,female,2012,"10,177,685"
United States,40-44,female,2013,"10,130,876"
United States,40-44,female,2014,"10,105,427"
United States,40-44,female,2015,"10,087,492"
United States,40-44,female,2016,"10,080,276"
United States,40-44,female,2017,"10,071,874"
United States,40-44,female,2018,"10,067,886"
United States,40-44,female,2019,"10,086,648"
United States,40-44,male,1990,"8,604,106"
United States,40-44,male,2000,"10,877,327"
United States,40-44,male,2011,"10,012,249"
United States,40-44,male,2012,"9,942,916"
United States,40-44,male,2013,"9,903,963"
United States,40-44,male,2014,"9,885,260"
United States,40-44,male,2015,"9,872,633"
United States,40-44,male,2016,"9,869,087"
United States,40-44,male,2017,"9,863,201"
United States,40-44,male,2018,"9,860,623"
United States,40-44,male,2019,"9,879,603"
United States,45-49,female,1990,"7,015,816"
United States,45-49,female,2000,"10,229,800"
United States,45-49,female,2011,"11,032,978"
United States,45-49,female,2012,"10,854,216"
United States,45-49,female,2013,"10,661,132"
United States,45-49,female,2014,"10,489,300"
United States,45-49,female,2015,"10,352,448"
United States,45-49,female,2016,"10,250,825"
United States,45-49,female,2017,"10,177,267"
United States,45-49,female,2018,"10,123,340"
United States,45-49,female,2019,"10,081,631"
United States,45-49,male,1990,"6,741,799"
United States,45-49,male,2000,"9,930,115"
United States,45-49,male,2011,"10,771,497"
United States,45-49,male,2012,"10,603,841"
United States,45-49,male,2013,"10,422,343"
United States,45-49,male,2014,"10,260,770"
United States,45-49,male,2015,"10,131,946"
United States,45-49,male,2016,"10,036,063"
United States,45-49,male,2017,"9,966,410"
