Country Name,Age Group,Gender,Year,Population
United States,0-14,female,2019,"29,768,273"
United States,0-14,male,2019,"29,157,231"
United States,15-19,female,2019,"10,387,288"
United States,15-19,male,2019,"10,174,072"
United States,20-24,female,2019,"10,984,798"
United States,20-24,male,2019,"10,759,317"
United States,25-29,female,2019,"11,609,603"
United States,25-29,male,2019,"11,371,297"
United States,30-34,female,2019,"11,163,282"
United States,30-34,male,2019,"10,934,137"
United States,35-39,female,2019,"10,577,274"
United States,35-39,male,2019,"10,360,158"
United States,40-44,female,2019,"10,086,648"
United States,40-44,male,2019,"9,879,603"
United States,45-49,female,2019,"10,081,631"
United States,45-49,male,2019,"9,874,689"
United States,50-54,female,2019,"10,369,204"
United States,50-54,male,2019,"10,156,360"
United States,55-59,female,2019,"10,909,487"
United States,55-59,male,2019,"10,685,552"
United States,60-64,female,2019,"10,490,334"
United States,60-64,male,2019,"10,275,003"
United States,65-69,female,2019,"9,130,305"
United States,65-69,male,2019,"8,942,890"
United States,70-74,female,2019,"7,383,579"
United States,70-74,male,2019,"7,232,019"
United States,75-79,female,2019,"5,120,726"
United States,75-79,male,2019,"5,015,615"
United States,80 and above,female,2019,"7,759,209"
United States,80 and above,male,2019,"7,599,938"
